Year,Provinces,City,Captured,JJUV,
2003,Jeollanam,Sinan,5,0,
2007,Jeju,Seogwipo,2,0,
2008,Gyeongsangnam,Geochang,3,0,
,Jeollanam,Jangseong,3,0,
2009,Chungcheongbuk,Cheongju,1,0,
,Gyeongsangbuk,Gyeongju,1,0,
,,Ulleung Island,2,0,
,Jeju,Seogwipo,2,0,
2010,Chungcheongnam,Nonsan,1,0,
,Gangwon,Gangneung,2,0,
,,Samcheock,1,0,
,,Cheorwon,1,0,
,Gyeonggi,Ganghwa,2,0,
,,Suwon,1,0,
,Gyeongsangbuk,Uljin,3,0,
2011,Gangwon,Wonju,1,0,
,Jeollanam,Goheung,1,0,
,Jeju,Jeju,2,0,
,Chungcheongnam,Geumsan,1,0,
2012,Gyeongsangbuk,Uljin,1,0,
,Jeollanam,Gurye,2,0,
,Jeollabuk,Wanju,2,0,
,Chungcheongbuk,Jecheon,1,0,
2013,Gyeongsangnam,Changnyeong,1,0,
,Jeollanam,Damyang,2,0,
,,Seoula,1,0,
2014,Gangwon,Hwacheon,1,0,
,,Yangyang,4,0,
,Gyeonggi,Paju,1,0,
,,Pocheon,7,1,
2015,Gangwon,Cherowon,1,0,
,,Hongcheon,1,0,
2016,Gangwon,Hwacheon,2,0,
,Gyeonggi,Pocheon,1,0,
2017,Gangwon,Chuncheon,8,3,
,Gyeonggi,Paju,2,0,
,,Yeoncheon,2,1,
2018,Gangwon,Chucheon,1,1,
,,Pyeongchang,1,1,
,Gyeonggi,Paju,4,0,
,,Pocheon,2,0,
,,Yeoncheon,1,0,
